"country_code","year","life_ladder","central_government_debt","goods_exports","service_exports","goods_imports","service_imports"
"CHE",2022,"6.8838444","14.400195","472404932092","148018581924","354491688163","157559807743"
"CHE",2021,"7.3276725","13.747357","438815658464","139020077311","322197974334","158851926909"
"CHE",2020,"7.5084352","13.892945","353460786858","120515705419","289978883690","140052185584"
"CHE",2018,"7.508587","12.819255","345951379879","139231529922","273434857378","140761842537"
"CHE",2019,"7.694221","12.270321","342872327866","135632483251","271484289833","141919461865"
"CHE",2014,"7.4928036","15.400901","337823160247","130554149963","272905917120","126653070330"
"CHE",2017,"7.473593","14.179704","328689246956","128585883789","264234640460","135236701410"
"CHE",2016,"7.45852","13.710523","326948311711","126661453681","265226378328","125904132830"
"CHE",2015,"7.572137","14.70534","312070394627","124568818784","248541461384","122015192549"
"FIN",2022,"7.728998","60.21884","91892884902","33895301069","93315271046","40295274967"
"FIN",2021,"7.794378","59.171806","82912145159","34042559661","80204017861","36531773348"
"FIN",2014,"7.384571","54.72578","74459455559","25772643422","72615099350","30808310523"
"FIN",2018,"7.858107","53.045036","74302405231","31707385915","73970902320","35473613083"
"FIN",2019,"7.780348","52.478966","72690213780","34393886572","70111465466","36552292293"
"FIN",2020,"7.88935","60.535713","67416386738","30002022643","64189982830","32848613942"
"FIN",2017,"7.788252","55.10802","67198318454","28879562904","65509639633","30443575828"
"FIN",2015,"7.4479256","57.04331","58806695990","24217417809","56697785382","27666618009"
"FIN",2016,"7.6598434","56.696","58351635009","25429132016","58302942652","28536079481"
"SWE",2022,"7.4312143","37.032425","215929274422","94563531306","198197462565","98104132317"
"SWE",2021,"7.43928","39.000774","208834759041","88722911706","183903380178","84522828713"
"SWE",2018,"7.374792","40.020515","180750217560","73503011562","169594370594","71931735600"
"SWE",2014,"7.2391477","45.745644","180035206909","75630851681","163102838689","69397700885"
"SWE",2019,"7.3980927","36.512676","179438395690","77794842843","158728270396","74920144441"
"SWE",2020,"7.314341","42.104477","170934620194","71005041959","149271460690","67893672272"
"SWE",2017,"7.2868047","41.3349","165542840224","71868045390","154381170022","68404930556"
"SWE",2015,"7.2889223","44.45817","151203884113","71218273722","139714140055","61449812442"
"SWE",2016,"7.3687444","42.860424","150298788451","70108699050","141826882201","62473745983"
